"","combo","Wang","ID1","ID2","age1","amg1","age2","amg2","same.amg.yn","age.dif","same.age.yn"
"391","DIKSHO",-0.1182,"DIK","SHO",8.51780821917808,"AMG7",8.25479452054794,"AMG4","Between All-Male Groups",0.263013698630141,"Same Age Class"
"392","DIKSHO",-0.1182,"DIK","SHO",8.51780821917808,"AMG7",8.25479452054794,"AMG4","Between All-Male Groups",0.263013698630141,"Same Age Class"
"393","ERGSHO",-0.1179,"ERG","SHO",8.71506849315069,"AMG6",8.25479452054794,"AMG4","Between All-Male Groups",0.460273972602751,"Same Age Class"
"394","ERGSHO",-0.1179,"ERG","SHO",8.71506849315069,"AMG6",8.25479452054794,"AMG4","Between All-Male Groups",0.460273972602751,"Same Age Class"
"395","HOOMAY",-0.1144,"HOO","MAY",9.25753424657534,"AMG7",10.213698630137,"AMG6","Between All-Male Groups",0.95616438356166,"Same Age Class"
"396","HOOMAY",-0.1144,"HOO","MAY",9.25753424657534,"AMG7",10.213698630137,"AMG6","Between All-Male Groups",0.95616438356166,"Same Age Class"
"397","OUPTEQ",-0.1143,"OUP","TEQ",9.41917808219178,"AMG2",9.86575342465753,"AMG2","Within All-Male Group",0.446575342465751,"Same Age Class"
"398","OUPTEQ",-0.1143,"OUP","TEQ",9.41917808219178,"AMG2",9.86575342465753,"AMG2","Within All-Male Group",0.446575342465751,"Same Age Class"
"399","DYEMAY",-0.1092,"DYE","MAY",9.96438356164384,"AMG6",10.213698630137,"AMG6","Within All-Male Group",0.249315068493159,"Same Age Class"
"400","DYEMAY",-0.1092,"DYE","MAY",9.96438356164384,"AMG6",10.213698630137,"AMG6","Within All-Male Group",0.249315068493159,"Same Age Class"
"401","EGGHAS",-0.1085,"EGG","HAS",8.71506849315069,"AMG6",7.68219178082192,"AMG8","Between All-Male Groups",1.03287671232877,"Same Age Class"
"402","EGGHAS",-0.1085,"EGG","HAS",8.71506849315069,"AMG6",7.68219178082192,"AMG8","Between All-Male Groups",1.03287671232877,"Same Age Class"
"403","OUPSHO",-0.1082,"OUP","SHO",9.41917808219178,"AMG2",8.25479452054794,"AMG4","Between All-Male Groups",1.16438356164384,"Same Age Class"
"404","OUZTEQ",-0.1082,"OUZ","TEQ",8.11506849315069,"AMG2",9.86575342465753,"AMG2","Within All-Male Group",1.75068493150684,"Different Age Class"
"405","OUPSHO",-0.1082,"OUP","SHO",9.41917808219178,"AMG2",8.25479452054794,"AMG4","Between All-Male Groups",1.16438356164384,"Same Age Class"
"406","OUZTEQ",-0.1082,"OUZ","TEQ",8.11506849315069,"AMG2",9.86575342465753,"AMG2","Within All-Male Group",1.75068493150684,"Different Age Class"
"407","KHARAN",-0.108,"KHA","RAN",9.36164383561644,"AMG3",8.93150684931507,"AMG8","Between All-Male Groups",0.43013698630137,"Same Age Class"
"408","KHARAN",-0.108,"KHA","RAN",9.36164383561644,"AMG3",8.93150684931507,"AMG8","Between All-Male Groups",0.43013698630137,"Same Age Class"
"409","MEAOUP",-0.1064,"MEA","OUP",8.34794520547945,"AMG7",9.41917808219178,"AMG2","Between All-Male Groups",1.07123287671233,"Same Age Class"
"410","MEAOUP",-0.1064,"MEA","OUP",8.34794520547945,"AMG7",9.41917808219178,"AMG2","Between All-Male Groups",1.07123287671233,"Same Age Class"
"411","ERGTEQ",-0.1059,"ERG","TEQ",8.71506849315069,"AMG6",9.86575342465753,"AMG2","Between All-Male Groups",1.15068493150684,"Same Age Class"
"412","ERGTEQ",-0.1059,"ERG","TEQ",8.71506849315069,"AMG6",9.86575342465753,"AMG2","Between All-Male Groups",1.15068493150684,"Same Age Class"
"413","KHAMEA",-0.1057,"KHA","MEA",9.36164383561644,"AMG3",8.34794520547945,"AMG7","Between All-Male Groups",1.01369863013699,"Same Age Class"
"414","KHAMEA",-0.1057,"KHA","MEA",9.36164383561644,"AMG3",8.34794520547945,"AMG7","Between All-Male Groups",1.01369863013699,"Same Age Class"
