"","id1","id2","unit","total_focals","all_groom","all_approach","all_leave","all_threat","all_nasty","all_fear","all_kiss","all_wish","all_mount","all_vg","all_vt","all_vf","focal_hrs"
"34","DRA","IGO","AMG7",151,2.86092715231788,0.291390728476821,0.344370860927152,0,0.0264900662251656,0,0.317880794701987,0.0794701986754967,0.556291390728477,2.14569536423841,0,0,37.75
"35","DRA","MEA","AMG7",218,6.4954128440367,0.422018348623853,0.568807339449541,0.110091743119266,0.018348623853211,0.165137614678899,0.293577981651376,0.238532110091743,0.605504587155963,5.32110091743119,0.110091743119266,0.018348623853211,54.5
"36","DRA","MOB","AMG7",29,2.06896551724138,0.137931034482759,0,0,0,0,1.51724137931034,0.413793103448276,0.689655172413793,1.93103448275862,0,0,7.25
"37","DRA","MUM","AMG7",98,12.530612244898,0.693877551020408,1.10204081632653,0,0,0,1.3469387755102,1.14285714285714,1.14285714285714,9.95918367346939,0,0,24.5
"38","DRA","QUA","AMG7",46,3.82608695652174,0.956521739130435,0.782608695652174,0.173913043478261,0,0.0869565217391304,0,0,0.521739130434783,2.8695652173913,0.173913043478261,0.0869565217391304,11.5
"39","DRA","WOL","AMG7",100,10.44,0.32,0.16,0,0.04,0.04,0.68,0.2,3.16,10.12,0,0,25
"40","DUM","FUL","AMG4",14,0,0,0,0,0,0,0,0,0,0,0,0,3.5
"41","DUM","KRO","AMG4",71,1.29577464788732,0.450704225352113,0.28169014084507,0,0,0,0,0.0563380281690141,0.112676056338028,0.676056338028169,0,0,17.75
"42","DUM","NSF","AMG4",8,0,0,0,0,0,0,0,0,0,0,0,0,2
"43","DUM","SHO","AMG4",69,18.6086956521739,0.869565217391304,0.927536231884058,0,0.0579710144927536,0,0.463768115942029,1.39130434782609,4.57971014492754,12.695652173913,0,0,17.25
"44","DUM","SMA","AMG4",58,6.82758620689655,0.344827586206897,0.275862068965517,0,0,0.0689655172413793,0.206896551724138,0.413793103448276,0.689655172413793,3.17241379310345,0,0.0689655172413793,14.5
