Date,Observer,Time,Subject,Unit,Sex,Status,State,Social,Recipient
1/4/11,DAVID,10:47:58 AM,ASL,K,M,BACHELOR,,U1,
1/4/11,DAVID,10:50:04 AM,ASL,K,M,BACHELOR,NB,,
1/4/11,DAVID,10:54:49 AM,ASL,K,M,BACHELOR,NB,,
1/4/11,DAVID,10:56:42 AM,ASL,K,M,BACHELOR,,L@U,
1/4/11,DAVID,10:58:09 AM,ASL,K,M,BACHELOR,M,,
1/4/11,DAVID,10:58:16 AM,ASL,K,M,BACHELOR,,L1,EAG ERG
1/4/11,DAVID,10:58:28 AM,ASL,K,M,BACHELOR,F,,
1/4/11,DAVID,10:59:00 AM,ASL,K,M,BACHELOR,,A2,EAG 
1/4/11,DAVID,10:59:01 AM,ASL,K,M,BACHELOR,R,,
1/4/11,DAVID,11:00:18 AM,ASL,K,M,BACHELOR,NB,,
1/4/11,DAVID,11:00:20 AM,ASL,K,M,BACHELOR,END,,
1/5/11,DAVID,9:01:56 AM,QUA,K,M,BACHELOR,START,,
1/5/11,DAVID,9:01:57 AM,QUA,K,M,BACHELOR,R,,
1/5/11,DAVID,9:07:36 AM,QUA,K,M,BACHELOR,NB,,
1/5/11,DAVID,9:12:19 AM,QUA,K,M,BACHELOR,NB,,
1/5/11,DAVID,9:16:38 AM,QUA,K,M,BACHELOR,,Y1,
1/5/11,DAVID,9:17:18 AM,QUA,K,M,BACHELOR,NB,,
1/5/11,DAVID,9:17:19 AM,QUA,K,M,BACHELOR,END,,
1/5/11,DAVID,10:16:19 AM,MEA,K,M,BACHELOR,START,,
1/5/11,DAVID,10:16:19 AM,MEA,K,M,BACHELOR,M,,
1/5/11,DAVID,10:16:48 AM,MEA,K,M,BACHELOR,F,,
1/5/11,DAVID,10:17:32 AM,MEA,K,M,BACHELOR,M,,
1/5/11,DAVID,10:17:55 AM,MEA,K,M,BACHELOR,,A1,DRA
1/5/11,DAVID,10:17:57 AM,MEA,K,M,BACHELOR,R,,
1/5/11,DAVID,10:18:13 AM,MEA,K,M,BACHELOR,,G1VG2VG1,DRA
1/5/11,DAVID,10:18:16 AM,MEA,K,M,BACHELOR,S,,
1/5/11,DAVID,10:19:11 AM,MEA,K,M,BACHELOR,,G2VG1VG2VY1K2,DRA
1/5/11,DAVID,10:19:45 AM,MEA,K,M,BACHELOR,,G3,DRA
1/5/11,DAVID,10:20:25 AM,MEA,K,M,BACHELOR,,G2Y1,DRA
1/5/11,DAVID,10:21:26 AM,MEA,K,M,BACHELOR,,GZW2,DRA
1/5/11,DAVID,10:21:29 AM,MEA,K,M,BACHELOR,,G1,DRA
1/5/11,DAVID,10:21:58 AM,MEA,K,M,BACHELOR,NB,,
1/5/11,DAVID,10:22:25 AM,MEA,K,M,BACHELOR,,GZL2,DRA
1/5/11,DAVID,10:22:26 AM,MEA,K,M,BACHELOR,M,,
1/5/11,DAVID,10:22:45 AM,MEA,K,M,BACHELOR,,VG1VG2,DRA
1/5/11,DAVID,10:22:52 AM,MEA,K,M,BACHELOR,F,,
1/5/11,DAVID,10:23:28 AM,MEA,K,M,BACHELOR,M,,
1/5/11,DAVID,10:23:45 AM,MEA,K,M,BACHELOR,,A1W1VG2VG1X2,DRA
1/5/11,DAVID,10:23:50 AM,MEA,K,M,BACHELOR,R,,
1/5/11,DAVID,10:24:00 AM,MEA,K,M,BACHELOR,,VG2VG1G2,DRA
1/5/11,DAVID,10:24:01 AM,MEA,K,M,BACHELOR,S,,
1/5/11,DAVID,10:25:33 AM,MEA,K,M,BACHELOR,,GZW1,DRA
1/5/11,DAVID,10:25:39 AM,MEA,K,M,BACHELOR,,G2VG1,DRA
1/5/11,DAVID,10:25:48 AM,MEA,K,M,BACHELOR,,G1VG2VG1,DRA
1/5/11,DAVID,10:26:38 AM,MEA,K,M,BACHELOR,NB,,
1/5/11,DAVID,10:27:14 AM,MEA,K,M,BACHELOR,,GZL2,DRA
1/5/11,DAVID,10:27:15 AM,MEA,K,M,BACHELOR,M,,
1/5/11,DAVID,10:27:57 AM,MEA,K,M,BACHELOR,,A1W1X2,DRA
1/5/11,DAVID,10:27:58 AM,MEA,K,M,BACHELOR,R,,
1/5/11,DAVID,10:28:05 AM,MEA,K,M,BACHELOR,,G2,DRA
1/5/11,DAVID,10:28:07 AM,MEA,K,M,BACHELOR,S,,
1/5/11,DAVID,10:28:20 AM,MEA,K,M,BACHELOR,,GZ,DRA
1/5/11,DAVID,10:28:22 AM,MEA,K,M,BACHELOR,R,,
1/5/11,DAVID,10:29:30 AM,MEA,K,M,BACHELOR,,G2VG1VG2VG1,DRA
1/5/11,DAVID,10:29:31 AM,MEA,K,M,BACHELOR,S,,
1/5/11,DAVID,10:30:06 AM,MEA,K,M,BACHELOR,,VG1,DRA
1/5/11,DAVID,10:30:56 AM,MEA,K,M,BACHELOR,,G1,DRA
1/5/11,DAVID,10:31:45 AM,MEA,K,M,BACHELOR,NB,,
1/5/11,DAVID,10:31:46 AM,MEA,K,M,BACHELOR,END,,
1/5/11,DAVID,10:35:15 AM,IGO,K,M,BACHELOR,START,,
1/5/11,DAVID,10:35:33 AM,IGO,K,M,BACHELOR,R,,
1/5/11,DAVID,10:36:05 AM,IGO,K,M,BACHELOR,,L@U,
1/5/11,DAVID,10:36:14 AM,IGO,K,M,BACHELOR,M,,
1/5/11,DAVID,10:36:24 AM,IGO,K,M,BACHELOR,,L1,QUA
1/5/11,DAVID,10:37:37 AM,IGO,K,M,BACHELOR,R,,
1/5/11,DAVID,10:37:51 AM,IGO,K,M,BACHELOR,M,,
1/5/11,DAVID,10:38:16 AM,IGO,K,M,BACHELOR,R,,
1/5/11,DAVID,10:38:42 AM,IGO,K,M,BACHELOR,M,,
1/5/11,DAVID,10:38:57 AM,IGO,K,M,BACHELOR,F,,
1/5/11,DAVID,10:39:15 AM,IGO,K,M,BACHELOR,M,,
1/5/11,DAVID,10:40:08 AM,IGO,K,M,BACHELOR,R,,
1/5/11,DAVID,10:40:14 AM,IGO,K,M,BACHELOR,F,,
1/5/11,DAVID,10:42:26 AM,IGO,K,M,BACHELOR,NB,,
1/5/11,DAVID,10:43:14 AM,IGO,K,M,BACHELOR,M,,
1/5/11,DAVID,10:43:29 AM,IGO,K,M,BACHELOR,F,,
1/5/11,DAVID,10:44:00 AM,IGO,K,M,BACHELOR,M,,
1/5/11,DAVID,10:44:10 AM,IGO,K,M,BACHELOR,F,,
1/5/11,DAVID,10:44:25 AM,IGO,K,M,BACHELOR,,A2,DIK
1/5/11,DAVID,10:44:52 AM,IGO,K,M,BACHELOR,,L2,DIK
1/5/11,DAVID,10:45:03 AM,IGO,K,M,BACHELOR,M,,
1/5/11,DAVID,10:45:13 AM,IGO,K,M,BACHELOR,R,,
1/5/11,DAVID,10:46:17 AM,IGO,K,M,BACHELOR,NB,,
1/5/11,DAVID,10:46:18 AM,IGO,K,M,BACHELOR,M,,
1/5/11,DAVID,10:47:04 AM,IGO,K,M,BACHELOR,F,,
1/5/11,DAVID,10:47:10 AM,IGO,K,M,BACHELOR,M,,
1/5/11,DAVID,10:47:33 AM,IGO,K,M,BACHELOR,R,,
1/5/11,DAVID,10:47:39 AM,IGO,K,M,BACHELOR,M,,
1/5/11,DAVID,10:49:59 AM,IGO,K,M,BACHELOR,F,,
1/5/11,DAVID,10:50:02 AM,IGO,K,M,BACHELOR,M,,
1/5/11,DAVID,10:51:43 AM,IGO,K,M,BACHELOR,NB,,
1/5/11,DAVID,10:51:52 AM,IGO,K,M,BACHELOR,END,,
1/5/11,DAVID,10:59:06 AM,DRA,K,M,BACHELOR,START,,
1/5/11,DAVID,10:59:10 AM,DRA,K,M,BACHELOR,M,,
1/5/11,DAVID,10:59:52 AM,DRA,K,M,BACHELOR,F,,
1/5/11,DAVID,11:01:12 AM,DRA,K,M,BACHELOR,M,,
1/5/11,DAVID,11:01:23 AM,DRA,K,M,BACHELOR,F,,
1/5/11,DAVID,11:02:28 AM,DRA,K,M,BACHELOR,M,,
1/5/11,DAVID,11:02:50 AM,DRA,K,M,BACHELOR,F,,
1/5/11,DAVID,11:02:54 AM,DRA,K,M,BACHELOR,R,,
1/5/11,DAVID,11:03:21 AM,DRA,K,M,BACHELOR,M,,
1/5/11,DAVID,11:03:36 AM,DRA,K,M,BACHELOR,,VG1,
1/5/11,DAVID,11:03:39 AM,DRA,K,M,BACHELOR,F,,
1/5/11,DAVID,11:03:53 AM,DRA,K,M,BACHELOR,M,,
1/5/11,DAVID,11:04:08 AM,DRA,K,M,BACHELOR,F,,
1/5/11,DAVID,11:05:49 AM,DRA,K,M,BACHELOR,NB,,
1/5/11,DAVID,11:06:59 AM,DRA,K,M,BACHELOR,M,,
1/5/11,DAVID,11:07:26 AM,DRA,K,M,BACHELOR,F,,
1/5/11,DAVID,11:07:45 AM,DRA,K,M,BACHELOR,M,,
1/5/11,DAVID,11:07:47 AM,DRA,K,M,BACHELOR,F,,
1/5/11,DAVID,11:08:54 AM,DRA,K,M,BACHELOR,,VG1,
1/5/11,DAVID,11:10:52 AM,DRA,K,M,BACHELOR,NB,,
1/5/11,DAVID,11:14:37 AM,DRA,K,M,BACHELOR,,VG1VG2,HOO
1/5/11,DAVID,11:16:49 AM,DRA,K,M,BACHELOR,NB,,
1/5/11,DAVID,11:16:51 AM,DRA,K,M,BACHELOR,END,,
1/5/11,DAVID,11:17:57 AM,DIK,K,M,BACHELOR,START,,
1/5/11,DAVID,11:18:00 AM,DIK,K,M,BACHELOR,M,,
1/5/11,DAVID,11:18:10 AM,DIK,K,M,BACHELOR,R,,
1/5/11,DAVID,11:18:27 AM,DIK,K,M,BACHELOR,M,,
1/5/11,DAVID,11:18:42 AM,DIK,K,M,BACHELOR,F,,
1/5/11,DAVID,11:18:54 AM,DIK,K,M,BACHELOR,M,,
1/5/11,DAVID,11:19:15 AM,DIK,K,M,BACHELOR,R,,
1/5/11,DAVID,11:20:29 AM,DIK,K,M,BACHELOR,,VT1,OUM
1/5/11,DAVID,11:20:30 AM,DIK,K,M,BACHELOR,M,,
1/5/11,DAVID,11:21:06 AM,DIK,K,M,BACHELOR,R,,
1/5/11,DAVID,11:22:04 AM,DIK,K,M,BACHELOR,,VT1VT2,OUM
1/5/11,DAVID,11:22:07 AM,DIK,K,M,BACHELOR,R,,
1/5/11,DAVID,11:22:09 AM,DIK,K,M,BACHELOR,M,,
1/5/11,DAVID,11:23:38 AM,DIK,K,M,BACHELOR,,VT1VS2,SAM
1/5/11,DAVID,11:24:53 AM,DIK,K,M,BACHELOR,NB,,
1/5/11,DAVID,11:25:55 AM,DIK,K,M,BACHELOR,F,,
1/5/11,DAVID,11:26:28 AM,DIK,K,M,BACHELOR,M,,
1/5/11,DAVID,11:26:52 AM,DIK,K,M,BACHELOR,F,,
1/5/11,DAVID,11:26:59 AM,DIK,K,M,BACHELOR,M,,
1/5/11,DAVID,11:30:05 AM,DIK,K,M,BACHELOR,NB,,
1/5/11,DAVID,11:30:33 AM,DIK,K,M,BACHELOR,R,,
1/5/11,DAVID,11:30:41 AM,DIK,K,M,BACHELOR,M,,
1/5/11,DAVID,11:31:07 AM,DIK,K,M,BACHELOR,F,,
1/5/11,DAVID,11:31:38 AM,DIK,K,M,BACHELOR,,L@U,
1/5/11,DAVID,11:31:44 AM,DIK,K,M,BACHELOR,M,,
1/5/11,DAVID,11:32:12 AM,DIK,K,M,BACHELOR,R,,
1/5/11,DAVID,11:32:44 AM,DIK,K,M,BACHELOR,M,,
1/5/11,DAVID,11:32:51 AM,DIK,K,M,BACHELOR,R,,
1/5/11,DAVID,11:32:55 AM,DIK,K,M,BACHELOR,F,,
1/5/11,DAVID,11:34:29 AM,DIK,K,M,BACHELOR,NB,,
